datetime,close,high_^bvsp,low_^bvsp,open_^bvsp,volume_^bvsp,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2022-10-24,116013.0,119924.0,115793.0,119922.0,13278800,,,,False,False,False,False,False,False,False
2022-10-25,114626.0,116203.0,114626.0,116016.0,14727200,,,,False,False,False,False,False,False,False
2022-10-26,112764.0,114626.0,112577.0,114626.0,16088200,,,,False,False,False,False,False,False,False
2022-10-27,114641.0,116236.0,112765.0,112766.0,15530800,,,,False,False,False,False,False,False,False
2022-10-28,114539.0,114712.0,113336.0,114636.0,14392400,,,,False,False,False,False,False,False,False
2022-10-31,116037.0,116763.0,112113.0,114533.0,21637900,,,,False,False,False,False,False,False,False
2022-11-01,116929.0,118261.0,115547.0,116037.0,17969700,,,,False,False,False,False,False,False,False
2022-11-03,116896.0,117373.0,114485.0,116927.0,15634600,,,,False,False,False,False,False,False,False
2022-11-04,118155.0,120039.0,116904.0,116907.0,16209500,,,,False,False,False,False,False,False,False
2022-11-07,115342.0,118240.0,115266.0,118148.0,15221900,115594.2,112507.40939053736,118680.99060946263,False,True,False,False,True,True,False
2022-11-08,116160.0,117072.0,114688.0,115340.0,14239800,115645.63636363637,112697.44040370056,118593.83232357218,False,False,False,False,False,False,False
2022-11-09,113580.0,116183.0,113110.0,116153.0,20531600,115473.5,112419.9815525216,118527.0184474784,False,True,False,False,True,True,False
2022-11-10,109775.0,113579.0,108516.0,113579.0,26029300,115035.15384615384,110729.50183620585,119340.80585610184,True,True,True,False,False,True,True
2022-11-11,112253.0,113010.0,109408.0,109775.0,25038700,114836.42857142857,110440.5069150758,119232.35022778132,False,True,False,False,True,True,False
2022-11-14,113161.0,114322.0,111930.0,112256.0,15080400,114724.73333333334,110401.26458926308,119048.20207740359,False,False,False,False,False,False,False
2022-11-16,110243.0,113473.0,109512.0,113166.0,18351000,114444.625,109704.6137552876,119184.6362447124,False,True,False,False,True,True,False
2022-11-17,109703.0,110242.0,107245.0,110241.0,23119600,114165.70588235294,109032.13067764882,119299.28108705705,False,False,False,False,False,False,False
2022-11-18,108880.0,111585.0,108512.0,109706.0,18769100,113872.05555555556,108303.21546205961,119440.89564905151,False,False,False,False,False,False,False
2022-11-21,109748.0,110235.0,107957.0,108868.0,16651600,113655.0,107921.79069901606,119388.20930098394,False,False,False,False,False,False,False
2022-11-22,109037.0,110224.0,107867.0,109750.0,15056500,113424.1,107473.89915774621,119374.3008422538,False,False,False,False,False,False,False
2022-11-23,108683.0,109285.0,107902.0,109036.0,13198400,113057.6,106880.18086934445,119235.01913065556,False,False,False,False,False,False,False
2022-11-24,111831.0,112612.0,108846.0,108846.0,10296900,112917.85,106763.40827406787,119072.29172593214,False,True,False,False,True,True,False
2022-11-25,108977.0,112025.0,108552.0,111831.0,12309100,112728.5,106326.09852621076,119130.90147378924,False,True,False,False,True,True,False
2022-11-28,108782.0,109476.0,108378.0,108977.0,11492600,112435.55,105867.57588392179,119003.52411607822,False,False,False,False,False,False,False
2022-11-29,110910.0,112187.0,108784.0,108784.0,14721700,112254.1,105730.4399391543,118777.76006084571,False,False,False,False,False,False,False
2022-11-30,112486.0,112486.0,110202.0,110910.0,19703200,112076.55,105797.69437262065,118355.40562737935,False,False,False,False,False,False,False
2022-12-01,110926.0,112479.0,110548.0,112479.0,15193700,111776.4,105914.12404894519,117638.6759510548,False,False,False,False,False,False,False
2022-12-02,111924.0,113761.0,109963.0,110926.0,15982000,111527.8,106180.58687046877,116875.01312953123,False,False,False,False,False,False,False
2022-12-05,109401.0,112150.0,109270.0,111922.0,12308400,111090.1,106675.1221005501,115505.07789944991,False,True,False,False,True,True,False
2022-12-06,109533.0,110663.0,109217.0,109403.0,13437500,110799.65,106819.54620473886,114779.75379526113,False,False,False,False,False,False,False
2022-12-07,109361.0,110247.0,108612.0,110188.0,13825300,110459.7,107338.60484133003,113580.79515866996,False,False,False,False,False,False,False
2022-12-08,107245.0,109286.0,106906.0,109068.0,14921000,110142.95,107069.72851347116,113216.17148652884,False,True,False,False,True,True,False
2022-12-09,107689.0,108566.0,107089.0,107250.0,10676300,110038.65,106777.03294706454,113300.26705293545,False,False,False,False,False,False,False
2022-12-12,105264.0,107561.0,103877.0,107518.0,15481900,109689.2,105962.12062417722,113416.27937582278,True,True,True,False,False,True,True
2022-12-13,103892.0,106689.0,103409.0,105345.0,17702200,109225.75,105039.52603259664,113411.97396740336,True,False,False,True,False,True,False
2022-12-14,103803.0,104516.0,101632.0,103536.0,24923500,108903.75,104101.57992585104,113705.92007414896,True,False,False,True,False,True,False
2022-12-15,103738.0,105483.0,103014.0,103739.0,15568200,108605.5,103297.98618020004,113913.01381979996,False,False,False,False,False,False,False
2022-12-16,102825.0,104018.0,102248.0,103737.0,18255000,108302.75,102403.38754113618,114202.11245886382,False,False,False,False,False,False,False
2022-12-19,104530.0,105107.0,102770.0,102859.0,16773400,108041.85,101953.11516382408,114130.58483617593,False,False,False,False,False,False,False
2022-12-20,106979.0,107792.0,104607.0,104740.0,19125600,107938.95,101851.46767623886,114026.43232376114,False,True,False,False,True,True,False
2022-12-21,107313.0,107991.0,106066.0,106866.0,17634900,107870.45,101787.38977724341,113953.51022275658,False,False,False,False,False,False,False
2022-12-22,107317.0,108383.0,106510.0,107436.0,11494600,107644.75,101852.40034949691,113437.09965050309,False,False,False,False,False,False,False
2022-12-23,109698.0,109994.0,107552.0,107552.0,12847100,107680.8,101844.72891353139,113516.87108646861,False,True,False,False,True,True,False
2022-12-26,108738.0,109755.0,108309.0,109699.0,5219500,107678.6,101844.24384465882,113512.95615534119,False,False,False,False,False,False,False
2022-12-27,108347.0,109353.0,107418.0,108739.0,11158100,107550.45,101905.42433785152,113195.47566214847,False,False,False,False,False,False,False
2022-12-28,110237.0,110536.0,108578.0,108578.0,11193900,107438.0,102127.23651043428,112748.76348956572,False,False,False,False,False,False,False
2022-12-29,110031.0,111178.0,109560.0,110237.0,13389100,107393.25,102192.289648397,112594.210351603,False,False,False,False,False,False,False
2023-01-02,106376.0,109734.0,105981.0,109734.0,8130500,107115.85,102359.56811401527,111872.13188598474,False,True,False,False,True,True,False
2023-01-03,104166.0,106684.0,103852.0,106377.0,14466700,106854.1,102051.36008462503,111656.83991537498,False,True,False,False,True,True,False
2023-01-04,105334.0,105627.0,103915.0,104167.0,14451200,106644.15,101969.0739904857,111319.22600951428,False,False,False,False,False,False,False
2023-01-05,107518.0,107743.0,105333.0,105336.0,15512000,106552.0,102032.33298851164,111071.66701148836,False,False,False,False,False,False,False
2023-01-06,108836.0,109433.0,107642.0,107642.0,12626600,106631.55,102005.76540197042,111257.33459802959,False,False,False,False,False,False,False
2023-01-09,109227.0,109938.0,108134.0,108964.0,12047300,106708.45,101959.1601262123,111457.7398737877,False,False,False,False,False,False,False
2023-01-10,110912.0,111193.0,108478.0,109129.0,13697900,106990.85,101941.03010639054,112040.66989360948,False,False,False,False,False,False,False
2023-01-11,111763.0,111841.0,110752.0,110816.0,14461400,107384.4,102128.80354829662,112639.99645170337,False,False,False,False,False,False,False
2023-01-12,111877.0,113129.0,110982.0,112516.0,19839100,107788.1,102451.06550310459,113125.13449689542,False,False,False,False,False,False,False
2023-01-13,110916.0,111847.0,110428.0,111843.0,15939000,108147.0,102994.52556123718,113299.47443876282,False,False,False,False,False,False,False
2023-01-16,109213.0,110908.0,108753.0,110908.0,12512400,108466.4,103950.3395183763,112982.46048162368,False,False,False,False,False,False,False
2023-01-17,111439.0,111577.0,109214.0,109214.0,14363200,108811.85,104511.79608234552,113111.90391765449,False,False,False,False,False,False,False
2023-01-18,112452.0,113306.0,111441.0,111442.0,14128600,109085.5,104584.66103727095,113586.33896272905,False,False,False,False,False,False,False
2023-01-19,113006.0,113172.0,111307.0,112219.0,15594300,109370.15,104627.70069832621,114112.59930167378,False,False,False,False,False,False,False
2023-01-20,112301.0,113025.0,111735.0,112922.0,15436600,109619.35,104807.87545744209,114430.82454255792,False,False,False,False,False,False,False
2023-01-23,111709.0,113061.0,111542.0,112041.0,13701000,109719.9,104818.29747365063,114621.50252634936,False,False,False,False,False,False,False
2023-01-24,113028.0,113040.0,111669.0,111746.0,11551500,109934.4,104841.96385875775,115026.83614124224,False,False,False,False,False,False,False
2023-01-25,114195.0,114386.0,111927.0,113028.0,11413000,110226.8,104854.27298113638,115599.32701886362,False,False,False,False,False,False,False
2023-01-26,114109.0,114835.0,113591.0,114271.0,10920800,110420.4,104774.23735715378,116066.56264284621,False,False,False,False,False,False,False
