datetime,close,high_^mxx,low_^mxx,open_^mxx,volume_^mxx,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2022-10-24,47765.23828125,47967.140625,47065.421875,47088.171875,187700900,,,,False,False,False,False,False,False,False
2022-10-25,48641.26953125,48682.05859375,47558.73046875,47707.6015625,257303800,,,,False,False,False,False,False,False,False
2022-10-26,49327.109375,49408.26953125,48501.55078125,48596.48046875,309657400,,,,False,False,False,False,False,False,False
2022-10-27,48892.55859375,49361.578125,48805.41015625,49293.76953125,228084700,,,,False,False,False,False,False,False,False
2022-10-28,49086.30078125,49131.390625,48482.8984375,48896.359375,130269800,,,,False,False,False,False,False,False,False
2022-10-31,49922.30078125,49990.94140625,48873.171875,49110.671875,188740200,,,,False,False,False,False,False,False,False
2022-11-01,50864.8515625,50905.671875,50004.421875,50004.421875,184332800,,,,False,False,False,False,False,False,False
2022-11-03,50215.87109375,50653.87109375,49431.48046875,50653.87109375,256662200,,,,False,False,False,False,False,False,False
2022-11-04,51173.75,51319.87890625,50530.19921875,50565.16015625,145797800,,,,False,True,False,False,True,True,False
2022-11-07,50760.171875,51547.48046875,50540.03125,51166.859375,174276800,49664.9421875,47455.07727077648,51874.80710422352,False,False,False,False,False,False,False
2022-11-08,50888.46875,51093.05078125,50510.83984375,50773.9609375,198409900,49776.171875,47553.66820482796,51998.67554517204,False,False,False,False,False,False,False
2022-11-09,50545.76171875,51232.91015625,50333.12109375,50822.640625,180419300,49840.304361979164,47675.148963248874,52005.459760709455,False,False,False,False,False,False,False
2022-11-10,51031.7109375,51541.62890625,50839.37109375,50953.171875,173193500,49931.95102163462,47756.17679759035,52107.725245678885,False,False,False,False,False,False,False
2022-11-11,51959.19921875,52126.8984375,51086.48046875,51086.48046875,194494200,50076.75446428572,47722.17377930961,52431.335149261824,False,False,False,False,False,False,False
2022-11-14,51785.12890625,52016.44140625,51565.3515625,51915.62890625,187694100,50190.64609375,47756.24168775605,52625.05049974395,False,False,False,False,False,False,False
2022-11-15,51655.6796875,52457.140625,51369.30859375,51985.33984375,151830700,50282.210693359375,47818.916689625374,52745.504697093376,False,False,False,False,False,False,False
2022-11-16,51544.94140625,51710.640625,51362.578125,51526.390625,174857500,50356.48897058824,47894.02016624576,52818.957774930714,False,False,False,False,False,False,False
2022-11-17,51360.87109375,51559.41015625,51057.37890625,51377.05078125,145243200,50412.287977430555,47976.875202956486,52847.700751904624,False,False,False,False,False,False,False
2022-11-18,51569.71875,52040.03125,51326.890625,51468.578125,266751800,50473.20538651316,48047.56051540788,52898.85025761844,False,False,False,False,False,False,False
2022-11-22,51760.5390625,52371.01953125,51579.28125,51614.16015625,221256400,50537.5720703125,48107.442973594414,52967.70116703058,False,False,False,False,False,False,False
2022-11-23,51993.94921875,52258.73046875,51710.01953125,51710.01953125,161114500,50749.0076171875,48616.92905500472,52881.08617937027,False,False,False,False,False,False,False
2022-11-24,51979.01171875,52245.078125,51714.1796875,51990.609375,28413500,50915.8947265625,48963.53155212868,52868.25790099632,False,False,False,False,False,False,False
2022-11-25,51668.640625,51968.3203125,51289.91015625,51968.3203125,74038400,51032.9712890625,49204.890420314376,52861.05215781063,False,False,False,False,False,False,False
2022-11-28,51081.328125,52120.23046875,51030.8984375,51619.80859375,132152000,51142.409765625,49616.81309739635,52668.006433853654,False,False,False,False,False,False,False
2022-11-29,50174.05859375,51237.91015625,50111.48828125,51044.4296875,164540000,51196.79765625,49923.0692992283,52470.526013271694,False,True,False,False,True,True,False
2022-11-30,51684.859375,51800.359375,50125.80859375,50200.9296875,741512300,51284.9255859375,50145.68715401628,52424.16401785871,False,True,False,False,True,True,False
2022-12-01,51457.55078125,51811.171875,51027.578125,51649.6015625,185457400,51314.560546875,50190.59879182849,52438.52230192151,False,False,False,False,False,False,False
2022-12-02,51234.37109375,51647.8515625,51030.4296875,51407.9609375,153348400,51365.485546875,50365.68847811621,52365.2826156338,False,False,False,False,False,False,False
2022-12-05,50799.4609375,51298.01171875,50715.01171875,51197.73046875,105068700,51346.77109375,50318.26281553589,52375.27937196411,False,False,False,False,False,False,False
2022-12-06,51020.6484375,51481.80859375,50494.62890625,50683.1015625,149912000,51359.794921875,50356.26913601723,52363.32070773277,False,False,False,False,False,False,False
2022-12-07,50725.9609375,51311.3984375,50645.19140625,51044.03125,141194800,51351.66953125,50329.61476562651,52373.72429687349,False,False,False,False,False,False,False
2022-12-08,51078.69921875,51298.859375,50721.5,50721.5,123034000,51378.31640625,50418.858773933694,52337.774038566306,False,False,False,False,False,False,False
